rfam_acc	pdb_id	chain	pdb_start	pdb_end	bit_score	evalue_score	cm_start	cm_end	hex_colour	is_significant
RF00005	1fcw	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1fcw	C	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1fcw	D	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1fcw	E	1	73	65.60	2.6e-15	1	71	8e2511	1
RF02540	1ffk	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1ffk	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1ffk	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1ffk	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1ffk	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00005	1ffy	T	1	74	65.00	3.6e-15	1	71	8e2511	1
RF02540	1ffz	A	1	604	609.70	2.1e-190	2128	2728	8e2511	1
RF02541	1ffz	A	1	604	435.50	1.9e-143	2048	2657	8e2511	0
RF02543	1ffz	A	1	604	413.90	6.2e-104	2360	3009	8e2511	0
RF02540	1fg0	A	1	604	609.70	2.1e-190	2128	2728	8e2511	1
RF02541	1fg0	A	1	604	435.50	1.9e-143	2048	2657	8e2511	0
RF02543	1fg0	A	1	604	413.90	6.2e-104	2360	3009	8e2511	0
RF00005	1fir	A	1	73	72.90	2.3e-17	1	71	8e2511	1
RF00177	1fjg	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1fjg	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1fjg	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1fjg	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1fka	A	2	1516	1494.70	0	1	1533	8e2511	1
RF01959	1fka	A	7	1514	1024.40	0	1	1477	8e2511	0
RF02542	1fka	A	7	1511	674.40	5.8e-205	1	1312	8e2511	0
RF01960	1fka	A	7	1511	618.40	2.5e-185	1	1851	8e2511	0
RF00044	1foq	A	3	122	146.90	3.3e-41	1	120	8e2511	1
RF00044	1foq	B	3	122	146.90	3.3e-41	1	120	8e2511	1
RF00044	1foq	C	3	122	146.90	3.3e-41	1	120	8e2511	1
RF00044	1foq	D	3	122	146.90	3.3e-41	1	120	8e2511	1
RF00044	1foq	E	3	122	146.90	3.3e-41	1	120	8e2511	1
RF00005	1g59	B	1	72	63.20	1.2e-14	1	71	8e2511	1
RF00005	1g59	D	1	72	63.20	1.2e-14	1	71	8e2511	1
RF00005	1gax	C	1	72	67.40	8.1e-16	1	71	8e2511	1
RF00005	1gax	D	1	72	67.40	8.1e-16	1	71	8e2511	1
RF00028	1grz	A	1	237	113.40	5.4e-30	49	251	8e2511	1
RF00028	1grz	B	1	237	113.40	5.4e-30	49	251	8e2511	1
RF00005	1gsg	T	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1gtr	B	1	71	54.60	2.9e-12	2	71	8e2511	1
RF00005	1gts	B	1	71	54.60	2.9e-12	2	71	8e2511	1
RF00005	1h3e	B	1	83	61.20	4.8e-14	1	71	8e2511	1
RF00005	1h4q	T	1	74	56.00	1.2e-12	1	71	8e2511	1
RF00005	1h4s	T	1	74	56.00	1.2e-12	1	71	8e2511	1
RF02541	1hc8	C	1	58	58.20	4.6e-18	1093	1150	8e2511	1
RF02541	1hc8	D	1	58	58.20	4.6e-18	1093	1150	8e2511	1
RF00177	1hnw	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1hnw	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1hnw	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1hnw	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1hnx	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1hnx	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1hnx	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1hnx	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1hnz	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1hnz	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1hnz	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1hnz	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1hr0	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1hr0	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1hr0	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1hr0	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1i94	A	1	1516	1487.10	0	1	1533	8e2511	1
RF01959	1i94	A	5	1516	1032.30	0	1	1477	8e2511	0
RF02542	1i94	A	5	1513	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1i94	A	5	1513	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1i95	A	1	1516	1487.10	0	1	1533	8e2511	1
RF01959	1i95	A	5	1516	1032.30	0	1	1477	8e2511	0
RF02542	1i95	A	5	1513	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1i95	A	5	1513	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1i96	A	1	1516	1487.10	0	1	1533	8e2511	1
RF01959	1i96	A	5	1516	1032.30	0	1	1477	8e2511	0
RF02542	1i96	A	5	1513	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1i96	A	5	1513	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1i97	A	1	1516	1487.10	0	1	1533	8e2511	1
RF01959	1i97	A	5	1516	1032.30	0	1	1477	8e2511	0
RF02542	1i97	A	5	1513	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1i97	A	5	1513	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1i9v	A	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00177	1ibk	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1ibk	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1ibk	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1ibk	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1ibl	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1ibl	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1ibl	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1ibl	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1ibm	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1ibm	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1ibm	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1ibm	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1il2	C	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1il2	D	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1ivs	C	1	72	67.40	8.1e-16	1	71	8e2511	1
RF00005	1ivs	D	1	72	67.40	8.1e-16	1	71	8e2511	1
RF00005	1j1u	B	1	74	66.20	1.7e-15	1	71	8e2511	1
RF00005	1j2b	C	1	74	67.30	8.7e-16	1	71	8e2511	1
RF00005	1j2b	D	1	74	67.30	8.7e-16	1	71	8e2511	1
RF02541	1j5a	A	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1j5a	A	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1j5a	A	137	2867	1220.60	0	1	3401	8e2511	0
RF00177	1j5e	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1j5e	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1j5e	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1j5e	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1jgo	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1jgo	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1jgo	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1jgo	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1jgo	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgo	C	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgo	D	1	71	58.10	3e-13	1	71	8e2511	1
RF00177	1jgp	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1jgp	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1jgp	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1jgp	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1jgp	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgp	C	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgp	D	1	71	58.10	3e-13	1	71	8e2511	1
RF00177	1jgq	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1jgq	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1jgq	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1jgq	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1jgq	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgq	C	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1jgq	D	1	71	58.10	3e-13	1	71	8e2511	1
RF02540	1jj2	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1jj2	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1jj2	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1jj2	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1jj2	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00032	1ju7	A	3	30	29.90	5.4e-08	1	28	8e2511	1
RF00032	1jwc	A	3	30	29.90	5.4e-08	1	28	8e2511	1
RF02541	1jzx	A	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1jzx	A	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1jzx	A	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1jzy	A	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1jzy	A	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1jzy	A	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1jzz	A	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1jzz	A	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1jzz	A	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1k01	A	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1k01	A	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1k01	A	137	2867	1220.60	0	1	3401	8e2511	0
RF02540	1k73	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1k73	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1k73	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1k73	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1k73	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1k8a	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1k8a	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1k8a	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1k8a	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1k8a	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1k9m	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1k9m	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1k9m	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1k9m	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1k9m	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1kc8	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1kc8	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1kc8	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1kc8	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1kc8	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1kd1	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1kd1	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1kd1	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1kd1	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1kd1	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1kqs	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1kqs	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1kqs	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1kqs	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1kqs	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00029	1kxk	A	18	72	44.70	1.1e-08	1	51	8e2511	1
RF00017	1l9a	B	3	126	120.30	7.9e-32	114	237	8e2511	1
RF01856	1l9a	B	2	126	71.00	1.2e-14	86	209	8e2511	0
RF00169	1lng	B	48	92	42.30	6.2e-09	23	67	8e2511	1
RF00005	1ls2	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF02540	1m1k	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1m1k	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1m1k	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1m1k	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1m1k	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1m90	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1m90	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1m90	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1m90	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1m90	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00017	1mfq	A	3	126	120.30	7.9e-32	114	237	8e2511	1
RF01856	1mfq	A	2	126	71.00	1.2e-14	86	209	8e2511	0
RF00005	1mj1	D	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1mj1	C	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00177	1ml5	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1ml5	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1ml5	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1ml5	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1ml5	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF02541	1ml5	a	1	2914	2686.50	0	1	2925	8e2511	1
RF02540	1ml5	a	1	2914	1913.10	0	1	2990	8e2511	0
RF02543	1ml5	a	151	2903	1118.30	5.2e-285	1	3401	8e2511	0
RF00002	1ml5	a	13	159	51.90	1.7e-11	1	154	8e2511	0
RF00001	1ml5	b	5	121	100.70	4.2e-23	1	119	8e2511	1
RF02541	1mms	C	1	58	58.80	3e-18	1093	1150	8e2511	1
RF02540	1mms	C	1	58	56.70	1.8e-16	1178	1235	8e2511	0
RF02541	1mms	D	1	58	58.80	3e-18	1093	1150	8e2511	1
RF02540	1mms	D	1	58	56.70	1.8e-16	1178	1235	8e2511	0
RF00177	1mvr	B	3	96	60.10	1.2e-17	1393	1491	8e2511	1
RF02541	1mvr	D	1	61	51.80	6.5e-16	2474	2534	8e2511	1
RF00177	1n32	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1n32	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1n32	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1n32	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1n33	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1n33	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1n33	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1n33	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1n34	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1n34	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1n34	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1n34	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00177	1n36	A	2	1520	1505.30	0	1	1533	8e2511	1
RF01959	1n36	A	7	1518	1034.90	0	1	1477	8e2511	0
RF02542	1n36	A	7	1515	678.90	2.3e-206	1	1312	8e2511	0
RF01960	1n36	A	7	1515	628.10	2.9e-188	1	1851	8e2511	0
RF00005	1n77	C	1	72	63.20	1.2e-14	1	71	8e2511	1
RF00005	1n77	D	1	72	63.20	1.2e-14	1	71	8e2511	1
RF00005	1n78	C	1	72	63.20	1.2e-14	1	71	8e2511	1
RF00005	1n78	D	1	72	63.20	1.2e-14	1	71	8e2511	1
RF02540	1n8r	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1n8r	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1n8r	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1n8r	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1n8r	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00175	1n8x	A	1	35	44.00	5.3e-08	1	40	8e2511	1
RF00011	1nbs	A	1	154	150.10	1.8e-43	77	230	8e2511	1
RF00011	1nbs	B	1	154	150.10	1.8e-43	77	230	8e2511	1
RF02540	1nji	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1nji	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1nji	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1nji	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1nji	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02541	1njm	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1njm	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1njm	0	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1njn	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1njn	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1njn	0	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1njo	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1njo	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1njo	0	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1njp	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1njp	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1njp	0	137	2867	1220.60	0	1	3401	8e2511	0
RF02541	1nkw	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1nkw	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1nkw	0	137	2867	1220.60	0	1	3401	8e2511	0
RF00001	1nkw	9	5	121	71.60	1.3e-15	1	119	8e2511	1
RF02541	1nwx	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1nwx	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1nwx	0	137	2867	1220.60	0	1	3401	8e2511	0
RF00001	1nwx	9	5	121	71.60	1.3e-15	1	119	8e2511	1
RF02541	1nwy	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1nwy	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1nwy	0	137	2867	1220.60	0	1	3401	8e2511	0
RF00001	1nwy	9	5	121	71.60	1.3e-15	1	119	8e2511	1
RF00005	1o0b	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1o0c	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1ob2	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1ob5	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1ob5	D	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1ob5	F	1	73	65.60	2.6e-15	1	71	8e2511	1
RF02541	1oln	C	1	58	58.80	3e-18	1093	1150	8e2511	1
RF02540	1oln	C	1	58	56.70	1.8e-16	1178	1235	8e2511	0
RF02541	1ond	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1ond	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1ond	0	137	2867	1220.60	0	1	3401	8e2511	0
RF00023	1p6v	B	1	68	68.90	8.3e-20	1	354	8e2511	1
RF00023	1p6v	D	1	68	68.90	8.3e-20	1	354	8e2511	1
RF02541	1p9x	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1p9x	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1p9x	0	137	2867	1220.60	0	1	3401	8e2511	0
RF02540	1q7y	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1q7y	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1q7y	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1q7y	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1q7y	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1q81	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1q81	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1q81	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1q81	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1q81	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1q82	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1q82	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1q82	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1q82	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1q82	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1q86	A	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1q86	A	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1q86	A	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1q86	A	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1q86	B	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02541	1qa6	C	1	58	58.20	4.6e-18	1093	1150	8e2511	1
RF02541	1qa6	D	1	58	58.20	4.6e-18	1093	1150	8e2511	1
RF00005	1qf6	B	1	73	70.00	1.5e-16	1	71	8e2511	1
RF00005	1qrs	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1qrt	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1qru	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1qtq	B	1	72	62.60	1.7e-14	1	71	8e2511	1
RF00005	1qu2	T	1	74	65.00	3.6e-15	1	71	8e2511	1
RF00005	1qu3	T	1	74	65.00	3.6e-15	1	71	8e2511	1
RF02540	1qvf	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1qvf	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1qvf	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1qvf	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1qvf	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF02540	1qvg	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1qvg	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1qvg	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1qvg	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1qvg	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00005	1qza	B	1	73	65.60	2.5e-15	1	71	8e2511	1
RF00005	1qzb	B	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00029	1r2p	A	1	34	41.60	3.2e-08	3	36	8e2511	1
RF02541	1r2w	C	1	58	58.80	3e-18	1093	1150	8e2511	1
RF02540	1r2w	C	1	58	56.70	1.8e-16	1178	1235	8e2511	0
RF02541	1r2x	C	1	58	58.80	3e-18	1093	1150	8e2511	1
RF02540	1r2x	C	1	58	56.70	1.8e-16	1178	1235	8e2511	0
RF00017	1ry1	A	3	126	120.30	7.9e-32	114	237	8e2511	1
RF01856	1ry1	A	2	126	71.00	1.2e-14	86	209	8e2511	0
RF02540	1s72	0	1	2923	2731.30	0	1	2990	8e2511	1
RF02541	1s72	0	2	2920	1740.40	0	1	2925	8e2511	0
RF02543	1s72	0	131	2914	1460.20	0	1	3401	8e2511	0
RF00002	1s72	0	9	149	50.10	5.5e-11	1	154	8e2511	0
RF00001	1s72	9	1	123	80.70	6.1e-18	1	119	8e2511	1
RF00374	1s9s	A	1	101	105.40	6.8e-21	1	101	8e2511	1
RF00005	1ser	T	1	91	65.20	4e-15	1	71	8e2511	1
RF02541	1sm1	0	1	2878	2737.80	0	1	2925	8e2511	1
RF02540	1sm1	0	1	2878	1900.10	0	1	2990	8e2511	0
RF02543	1sm1	0	137	2867	1220.60	0	1	3401	8e2511	0
RF00001	1sm1	9	5	121	71.60	1.3e-15	1	119	8e2511	1
RF00005	1sz1	E	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1sz1	F	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1tn1	A	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1tn2	A	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1tra	A	1	73	65.60	2.6e-15	1	71	8e2511	1
